pwm,distancia
100,0.43
100,0.46
100,0.44
100,0.44
101,0.44
101,0.5
101,0.45
101,0.44
101,0.44
102,0.47
102,0.44
102,0.43
102,0.46
102,0.43
103,0.49
103,0.43
103,0.43
103,0.44
103,0.42
104,0.43
104,0.44
104,0.43
104,0.44
104,0.44
105,0.44
105,0.44
105,0.43
105,0.43
105,0.42
106,0.47
106,0.44
106,0.48
106,0.44
106,0.46
107,0.44
107,0.48
107,0.44
107,0.47
107,0.44
108,0.44
108,0.44
108,0.44
108,0.46
108,0.46
109,0.46
109,0.44
109,0.44
109,0.45
109,0.47
110,0.45
110,0.43
110,0.44
110,0.45
110,0.44
111,0.44
111,0.44
111,0.48
111,0.44
111,0.45
112,0.44
112,0.43
112,0.43
112,0.47
112,0.45
113,0.46
113,0.45
113,0.45
113,0.43
113,0.44
114,0.44
114,0.44
114,0.46
114,0.45
114,0.44
115,0.43
115,0.43
115,0.44
115,0.43
115,0.44
116,0.45
116,0.44
116,0.42
116,0.47
116,0.44
117,0.42
117,0.44
117,0.43
117,0.44
117,0.43
118,0.43
118,0.43
118,0.44
118,0.44
118,0.43
119,0.45
119,0.43
119,0.43
119,0.43
119,0.45
120,0.45
120,0.43
120,0.44
120,0.43
120,0.43
121,0.43
121,0.45
121,0.43
121,0.47
121,0.44
122,0.44
122,0.42
122,0.43
122,0.44
122,0.47
123,0.47
123,0.45
123,0.44
123,0.45
123,0.47
124,0.46
124,0.43
124,0.44
124,0.43
124,0.44
125,0.44
125,0.45
125,0.43
125,0.5
125,0.43
126,0.43
126,0.44
126,0.44
126,0.43
126,0.44
127,0.43
127,0.45
127,0.43
127,0.43
127,0.43
128,0.43
128,0.43
128,0.44
128,0.44
128,0.44
129,0.43
129,0.43
129,0.43
129,0.42
129,0.44
130,0.45
130,0.43
130,0.43
130,0.48
130,0.43
131,0.44
131,0.43
131,0.43
131,0.43
131,0.43
132,0.43
132,0.42
132,0.51
132,0.43
132,0.42
133,0.43
133,0.44
133,0.43
133,0.43
133,0.42
134,0.44
134,0.43
134,0.43
134,0.43
134,0.44
135,0.44
135,0.43
135,0.43
135,0.43
135,0.43
136,0.44
136,0.44
136,0.44
136,0.43
136,0.45
137,0.43
137,0.44
137,0.43
137,0.45
137,0.46
138,0.44
138,0.44
138,0.43
138,0.43
138,0.43
139,0.44
139,0.43
139,0.43
139,0.43
139,0.51
140,0.44
140,0.46
140,0.45
140,0.43
140,0.46
141,0.43
141,0.42
141,0.43
141,0.44
141,0.43
142,0.43
142,0.42
142,0.43
142,0.45
142,0.44
143,0.43
143,0.44
143,0.44
143,0.44
143,0.43
144,0.42
144,0.42
144,0.42
144,0.46
144,0.43
145,0.44
145,0.44
145,0.5
145,0.43
145,0.44
146,0.44
146,0.44
146,0.43
146,0.43
146,0.42
147,0.42
147,0.43
147,0.44
147,0.43
147,0.43
148,0.44
148,0.43
148,0.43
148,0.42
148,0.42
149,0.43
149,0.43
149,0.42
149,0.42
149,0.44
150,0.45
150,0.46
150,0.43
150,0.42
150,0.43
151,0.44
151,0.42
151,0.42
151,0.42
151,0.42
152,0.43
152,0.42
152,0.42
152,0.43
152,0.45
153,0.46
153,0.43
153,0.43
153,0.43
153,0.43
154,0.43
154,0.43
154,0.44
154,0.45
154,0.42
155,0.43
155,0.42
155,0.44
155,0.46
155,0.43
156,0.43
156,0.43
156,0.44
156,0.42
156,0.42
157,0.42
157,0.45
157,0.41
157,0.42
157,0.42
158,0.42
158,0.43
158,0.41
158,0.43
158,0.42
159,0.42
159,0.42
159,0.46
159,0.42
159,0.42
160,0.41
160,0.46
160,0.42
160,0.42
160,0.43
161,0.43
161,0.43
161,0.43
161,0.41
161,0.46
162,0.42
162,0.39
162,0.39
162,0.41
162,0.36
163,0.37
163,0.36
163,0.33
163,0.35
163,0.34
164,0.37
164,0.31
164,0.35
164,0.31
164,0.31
165,0.31
165,0.31
165,0.31
165,0.3
165,0.32
166,0.32
166,0.33
166,0.33
166,0.31
166,0.31
167,0.31
167,0.31
167,0.31
167,0.31
167,0.31
168,0.33
168,0.32
168,0.34
168,0.3
168,0.31
169,0.31
169,0.32
169,0.32
169,0.31
169,0.31
170,0.31
170,0.31
170,0.32
170,0.3
